source,target,value
Search advertising,Ad revenue,44.0
YouTube,Ad revenue,8.0
AdMob AdSense & other,Ad revenue,7.7
Playstore & other,Revenue,8.3
Google Cloud,Revenue,8.4
Other revenue,Revenue,0.3
Ad revenue,Revenue,59.6
Revenue,Cost of revenue,33.2
Revenue,Gross profit,43.5
Gross profit,Operating expenses,22.1
Gross profit,R&D,11.3
Gross profit,Sales & marketing,6.9
Gross profit,General & admin,4.0
Gross profit,Operating profit,21.3
Operating profit,Tax,1.5
Operating profit,Other expense,0.1
Operating profit,Net profit,19.7
Cost of revenue,Traffic acquisition costs,12.6
Cost of revenue,Content acquisition data centers other,20.6
