source,target,value,category
Online stores,Net sales,56,revenue
Physical stores,Net sales,6,revenue
Third-party seller services,Net sales,37,revenue
Advertising services,Net sales,13,revenue
Subscription services,Net sales,11,revenue
AWS,Net sales,27,revenue
Other,Net sales,2,revenue
Net sales,Operating expenses,134,expense
Net sales,Operating income,15,profit
Operating income,Income before income taxes,16,profit
Income before income taxes,Net income,14,profit
Net sales,Cost of sales,74,expense
Net sales,Fulfillment,24,expense
Net sales,Technology and infrastructure,23,expense
Net sales,Sales and marketing,11,expense
Net sales,General and administrative,4,expense
Net sales,Other operating expense,1,expense
North America,Net sales,91,revenue
International,Net sales,32,revenue
AWS,Net sales,27,revenue
